latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
9.37544,-64.5225,322.1,0.48,0.4,2019-10-18,0600,N,nominal,1.0NRT,270,0.9,N
9.37618,-64.52686,296.1,0.48,0.4,2019-10-18,0600,N,nominal,1.0NRT,270,1.4,N
9.37177,-64.52313,306.4,0.48,0.4,2019-10-18,0600,N,nominal,1.0NRT,267,0.9,N
9.67978,-66.3968,303.1,0.4,0.37,2019-10-18,0600,N,nominal,1.0NRT,289.2,0.4,N
9.27443,-64.04301,333.1,0.51,0.41,2019-10-18,0600,N,nominal,1.0NRT,291.2,7.3,N
9.27442,-64.04047,329.9,0.51,0.41,2019-10-18,0600,N,nominal,1.0NRT,290.4,3,N
9.27519,-64.04514,306.8,0.51,0.41,2019-10-18,0600,N,nominal,1.0NRT,289.6,3,N
9.27063,-64.04111,322.1,0.51,0.41,2019-10-18,0600,N,nominal,1.0NRT,289.7,3.1,N
9.22678,-64.05823,332.5,0.51,0.41,2019-10-18,0600,N,nominal,1.0NRT,291.4,9.8,N
9.10141,-64.13919,310.5,0.51,0.41,2019-10-18,0600,N,nominal,1.0NRT,281.4,0.3,N
8.72888,-62.91039,302.8,0.41,0.45,2019-10-18,0600,N,nominal,1.0NRT,287.4,0.7,N
8.72826,-62.90672,306.3,0.41,0.45,2019-10-18,0600,N,nominal,1.0NRT,287,0.6,N
8.72416,-62.90744,336,0.41,0.45,2019-10-18,0600,N,nominal,1.0NRT,287.2,2.7,N
8.72479,-62.91111,317.2,0.41,0.45,2019-10-18,0600,N,nominal,1.0NRT,287.8,3.1,N
8.74429,-63.05055,310.1,0.4,0.44,2019-10-18,0600,N,nominal,1.0NRT,288.3,0.8,N
8.68696,-63.15609,323.2,0.39,0.44,2019-10-18,0600,N,nominal,1.0NRT,287.5,6.1,N
8.68636,-63.15252,337.4,0.39,0.44,2019-10-18,0600,N,nominal,1.0NRT,288.1,6.2,N
8.29959,-62.78091,308.1,0.42,0.45,2019-10-18,0600,N,nominal,1.0NRT,290.2,1.8,N
8.27626,-62.81995,314.4,0.42,0.45,2019-10-18,0600,N,nominal,1.0NRT,292.4,1.8,N
8.22612,-62.87568,313.3,0.42,0.45,2019-10-18,0600,N,nominal,1.0NRT,289.8,1.1,N
19.60223,-92.29362,339.7,0.39,0.37,2019-10-18,0742,N,nominal,1.0NRT,287.6,6.5,N
19.56772,-92.23733,334.5,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,288.9,11.9,N
19.56437,-92.23788,333.7,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,282.6,7.2,N
19.44171,-92.03737,331.9,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,286.2,6,N
19.43838,-92.03793,322.3,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,287.4,4.1,N
19.43782,-92.03423,330.3,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,285.7,4.1,N
19.43449,-92.03479,320.5,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,286.7,4.1,N
19.42902,-92.08047,304.7,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,287.7,2.4,N
19.39562,-92.04055,320.5,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,287.6,2.6,N
19.39618,-92.04425,310.3,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,287.7,2.6,N
19.39285,-92.04482,330.9,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,286.5,8.8,N
19.39229,-92.04111,325,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,286.7,8.8,N
18.6442,-92.17186,334.3,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,286.5,5.3,N
18.22144,-93.89461,306.6,0.43,0.38,2019-10-18,0742,N,nominal,1.0NRT,277.6,0.8,N
18.21795,-93.89516,322.4,0.43,0.38,2019-10-18,0742,N,nominal,1.0NRT,282.3,2.9,N
18.11506,-93.32539,304.2,0.41,0.37,2019-10-18,0742,N,nominal,1.0NRT,283.5,0.5,N
18.20453,-94.00454,325.7,0.43,0.38,2019-10-18,0742,N,nominal,1.0NRT,280.7,1,N
18.20103,-94.00509,312.7,0.43,0.38,2019-10-18,0742,N,nominal,1.0NRT,279.8,1,N
18.06484,-93.31333,314.4,0.41,0.37,2019-10-18,0742,N,nominal,1.0NRT,284.9,1,N
18.06427,-93.30948,305.2,0.41,0.37,2019-10-18,0742,N,nominal,1.0NRT,283.9,1,N
17.89744,-92.48966,308.3,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,271.8,1.2,N
17.89411,-92.49021,315.6,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,272,1.2,N
18.09163,-94.04602,307.5,0.43,0.38,2019-10-18,0742,N,nominal,1.0NRT,280,0.9,N
18.03101,-93.92272,334.5,0.43,0.38,2019-10-18,0742,N,nominal,1.0NRT,280.2,7.3,N
17.8928,-93.18724,299.9,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,282.8,0.8,N
17.89168,-93.17962,300,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,283,1.1,N
17.88996,-93.19159,302.1,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,283.7,0.8,N
17.97971,-94.11636,313.5,0.43,0.38,2019-10-18,0742,N,nominal,1.0NRT,263.7,1.1,N
17.78911,-93.12125,314.2,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,286,1.1,N
17.04236,-90.58263,298.9,0.39,0.36,2019-10-18,0742,N,nominal,1.0NRT,269.2,0.8,N
16.21145,-95.17489,302,0.46,0.39,2019-10-18,0742,N,nominal,1.0NRT,282.7,1.8,N
16.20297,-95.16733,297.5,0.46,0.39,2019-10-18,0742,N,nominal,1.0NRT,279.5,0.7,N
14.47573,-90.87991,348.7,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,279.2,9.4,N
14.47511,-90.87603,298,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,262.6,9.4,N
14.47238,-90.88043,350.1,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,266,9.4,N
14.47296,-90.88398,316.5,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,260.2,6.4,N
14.47177,-90.87663,298,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,262.8,9.4,N
14.469,-90.8808,295.2,0.4,0.37,2019-10-18,0742,N,nominal,1.0NRT,261.2,0.4,N
14.38529,-90.6002,315.2,0.41,0.37,2019-10-18,0742,N,nominal,1.0NRT,277,1.8,N
14.38191,-90.60075,333.4,0.41,0.37,2019-10-18,0742,N,nominal,1.0NRT,277.1,7.9,N
33.44334,-79.62671,301.7,0.48,0.48,2019-10-18,0736,N,nominal,1.0NRT,280,0.7,N
33.49511,-81.93382,327.5,0.55,0.43,2019-10-18,0736,N,nominal,1.0NRT,282.5,2.3,N
33.49125,-81.93488,298.5,0.55,0.43,2019-10-18,0736,N,nominal,1.0NRT,281.1,2.3,N
33.01383,-79.88586,329.5,0.48,0.48,2019-10-18,0736,N,nominal,1.0NRT,284.8,3.1,N
33.00409,-79.88354,299.8,0.48,0.48,2019-10-18,0736,N,nominal,1.0NRT,285.1,1,N
33.00299,-79.87852,307.1,0.48,0.48,2019-10-18,0736,N,nominal,1.0NRT,285,1,N
33.08985,-80.34156,299.2,0.45,0.47,2019-10-18,0736,N,nominal,1.0NRT,282.2,0.9,N
32.76105,-81.46454,299.4,0.4,0.44,2019-10-18,0736,N,nominal,1.0NRT,282,0.4,N
33.01202,-83.51096,319.1,0.47,0.4,2019-10-18,0736,N,nominal,1.0NRT,265,1.7,N
33.24758,-86.81978,297.1,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,275.3,0.5,N
33.21851,-86.78807,302.2,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,275.9,0.6,N
33.21921,-86.81352,296.2,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,271.6,0.4,N
33.21521,-86.78883,295.2,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,274,0.3,N
33.1795,-86.75859,307.2,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,277.6,0.9,N
33.44764,-88.57937,296.7,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,271.3,0.8,N
33.43975,-88.57239,318.9,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,270.9,1.2,N
33.43914,-88.5682,298.8,0.39,0.36,2019-10-18,0736,N,nominal,1.0NRT,270.1,1.2,N
33.23522,-87.50945,295.8,0.38,0.36,2019-10-18,0736,N,nominal,1.0NRT,271.9,1,N
33.22864,-87.51092,308.6,0.38,0.36,2019-10-18,0736,N,nominal,1.0NRT,267.7,1.3,N
